id_transaction,montant,statut,date,categorie,devise
1,134.8,en attente,2024-05-05,remboursement,EUR
2,3386.73,validé,2024-10-29,abonnement,EUR
3,1015.05,,2024-10-14,remboursement,GBP
4,2251.55,en attente,2024-01-04,remboursement,USD
5,785.84,en attente,2024-02-22,achat,USD
6,4239.0,en attente,2024-01-23,abonnement,GBP
7,4612.25,validé,2024-10-09,virement,GBP
8,1814.56,validé,2024-12-26,achat,EUR
9,3867.61,validé,2024-04-29,achat,USD
10,3182.07,en attente,2024-03-24,virement,EUR
11,1342.22,validé,2024-11-07,remboursement,GBP
12,825.38,en attente,2024-05-18,remboursement,EUR
13,3882.24,validé,2024-01-17,virement,USD
14,1062.8,en attente,2024-04-18,abonnement,USD
15,3217.83,validé,2024-05-15,remboursement,EUR
16,2699.5,en attente,2024-10-25,abonnement,EUR
17,4987.71,en attente,2024-02-16,achat,EUR
18,808.31,en attente,2024-11-01,achat,USD
19,4980.65,en attente,2024-10-10,achat,EUR
20,2689.48,en attente,2024-11-24,virement,EUR
21,799.21,validé,2024-05-14,remboursement,GBP
22,4353.89,en attente,2024-11-23,remboursement,EUR
23,816.13,validé,2024-11-02,virement,USD
24,4638.4,erreur,,remboursement,GBP
25,437.41,en attente,2024-02-05,remboursement,EUR
26,4734.77,validé,2024-05-15,abonnement,EUR
27,3778.77,validé,2024-12-31,virement,USD
28,3252.89,en attente,2024-09-21,abonnement,EUR
29,329.49,validé,2024-10-28,remboursement,GBP
30,364.26,validé,2024-04-27,achat,EUR
31,363.58,validé,2024-05-22,abonnement,EUR
32,3619.53,en attente,2024-05-04,abonnement,USD
33,493.68,en attente,2024-06-30,abonnement,USD
34,3648.09,validé,2024-02-01,abonnement,EUR
35,555.25,validé,2024-04-07,abonnement,EUR
36,1399.94,validé,2024-02-08,abonnement,GBP
37,3264.2,validé,2024-02-17,remboursement,EUR
38,2411.98,en attente,2024-01-31,remboursement,USD
39,1891.15,erreur,,abonnement,EUR
40,1096.33,validé,2024-10-23,achat,EUR
41,2925.05,validé,2024-01-30,achat,EUR
42,349.12,validé,2024-07-25,achat,GBP
43,2976.65,validé,2024-08-02,virement,EUR
44,3583.8,validé,2024-05-15,abonnement,EUR
45,1506.99,en attente,2024-02-07,achat,USD
46,2819.34,validé,2024-02-07,remboursement,GBP
47,4666.96,validé,2024-05-05,virement,EUR
48,4170.39,en attente,2024-11-09,achat,GBP
49,3320.31,validé,2024-05-15,achat,EUR
50,785.69,en attente,2024-11-05,remboursement,EUR
51,3174.85,en attente,2024-09-15,abonnement,EUR
52,4232.06,validé,2024-11-20,abonnement,EUR
53,1601.14,annulé,2024-05-14,remboursement,USD
54,2144.16,validé,2024-02-27,achat,EUR
55,4174.63,validé,2024-08-08,remboursement,EUR
56,4495.92,validé,2024-07-02,remboursement,EUR
57,1774.86,en attente,2024-11-13,remboursement,EUR
58,4881.27,validé,2024-07-30,achat,EUR
59,1667.61,en attente,2024-12-08,remboursement,EUR
60,3509.38,en attente,2024-01-20,abonnement,EUR
61,4593.07,en attente,2024-06-05,remboursement,EUR
62,884.96,erreur,,achat,EUR
63,2551.93,en attente,2024-01-15,achat,EUR
64,4813.05,en attente,2024-01-20,achat,GBP
65,3645.44,en attente,2024-08-11,achat,USD
66,958.49,validé,2024-12-28,abonnement,EUR
67,4034.49,validé,2024-07-05,abonnement,EUR
68,4604.65,en attente,2024-12-05,achat,EUR
69,3337.8,en attente,2024-07-25,virement,GBP
70,2108.03,en attente,2024-12-12,remboursement,GBP
71,2036.32,validé,2024-06-04,virement,EUR
72,2904.12,en attente,2024-08-26,abonnement,USD
73,2560.76,validé,2024-12-03,achat,EUR
